"Link","Classe","Número","Ano.de.autuação","Relator.Atual","Data","Andamento","Observação.Andamento","Ramo.do.direito","Assuntos","fator_m_aurelio","unanimidade"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","14/11/2013","Embargos não conhecidos","NA SESSÃO DO PLENÁRIO DE 13.11.2013 - Decisão: O Tribunal, por maioria e nos termos do voto do Relator, Ministro Joaquim Barbosa (Presidente), não conheceu dos embargos de declaração e reconheceu o caráter procrastinatório do recurso, vencidos os Ministros Teori Zavascki, Dias Toffoli, Ricardo Lewandowski e Marco Aurélio, que os acolhiam. Plenário, 13.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","14/11/2013","Embargos não conhecidos","NA SESSÃO DO PLENÁRIO DE 13.11.2013 - Decisão: O Tribunal, por maioria e nos termos do voto do Relator, Ministro Joaquim Barbosa (Presidente), não conheceu dos embargos de declaração, vencido parcialmente o Ministro Marco Aurélio, quanto à execução imediata da pena. Plenário, 13.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","14/11/2013","Embargos não conhecidos","NA SESSÃO DO PLENÁRIO DE 13.11.2013 - Decisão: O Tribunal, por unanimidade, não conheceu dos embargos de declaração e, por maioria, vencidos os Ministros Ricardo Lewandowski e Marco Aurélio, reconheceu o caráter procrastinatório do recurso, tudo nos termos do voto do Relator, Ministro Joaquim Barbosa (Presidente). Ausente, neste julgamento, o Ministro Gilmar Mendes. Plenário, 13.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","14/11/2013","Embargos não conhecidos","NA SESSÃO DO PLENÁRIO DE 13.11.2013 - Decisão: O Tribunal, por unanimidade, não conheceu dos embargos de declaração e, por maioria, vencidos os Ministros Ricardo Lewandowski e Marco Aurélio, reconheceu o caráter procrastinatório do recurso, tudo nos termos do voto do Relator, Ministro Joaquim Barbosa (Presidente). Plenário, 13.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","14/11/2013","Questão de ordem","NA SESSÃO DO PLENÁRIO DE 13.11.2013 - Decisão: O Tribunal, por maioria, rejeitou questão de ordem suscitada da tribuna pelo advogado Alberto Zacharias Toron, para que, antes da apreciação da presente Questão de Ordem, apresentada pelo Relator, fosse dada, à defesa, vista do pedido formulado pelo Procurador-Geral da República na noite do dia anterior à sessão de julgamento, cuja data havia sido divulgada amplamente com a devida antecedência. Considerou-se que as questões versadas na peça apresentada pelo Chefe do Parquet já constavam da Questão de Ordem trazida ao Plenário pelo Relator; salientou-se, ainda, que, à luz do art. 105 da Lei de Execuções Penais, a execução da condenação transitada em julgado independe de qualquer pedido, sendo providência a ser tomada de ofício pelo Relator. Ficaram vencidos os Ministros Ricardo Lewandowski e Marco Aurélio. O Tribunal, por unanimidade, decidiu pela executoriedade imediata dos capítulos autônomos do acórdão condenatório, que não foram objeto de embargos infringentes, considerados os estritos limites da impugnação recursal, e acolheu parcialmente a Questão de Ordem suscitada pelo Relator para decretar o respectivo trânsito em julgado. O Tribunal, por maioria, excluiu da execução imediata do acórdão as condenações que já foram impugnadas por meio de embargos infringentes, considerados os estritos limites de cada recurso, por ainda estarem pendentes de exame de admissibilidade, nos termos do voto do Ministro Teori Zavascki, vencidos os Ministros Joaquim Barbosa (Relator), Roberto Barroso, Luiz Fux, Dias Toffoli e Gilmar Mendes. Os Ministros Ricardo Lewandowski e Marco Aurélio também excluíam da execução imediata os réus cujos embargos de declaração foram apreciados na sessão de hoje. Presidência do Ministro Joaquim Barbosa (Presidente). Plenário, 13.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","14/11/2013","Questão de ordem","NA SESSÃO DO PLENÁRIO DE 13.11.2013 - Decisão: O Tribunal, por maioria, rejeitou questão de ordem suscitada da tribuna pelo advogado Alberto Zacharias Toron, para que, antes da apreciação da presente Questão de Ordem, apresentada pelo Relator, fosse dada, à defesa, vista do pedido formulado pelo Procurador-Geral da República na noite do dia anterior à sessão de julgamento, cuja data havia sido divulgada amplamente com a devida antecedência. Considerou-se que as questões versadas na peça apresentada pelo Chefe do Parquet já constavam da Questão de Ordem trazida ao Plenário pelo Relator; salientou-se, ainda, que, à luz do art. 105 da Lei de Execuções Penais, a execução da condenação transitada em julgado independe de qualquer pedido, sendo providência a ser tomada de ofício pelo Relator. Ficaram vencidos os Ministros Ricardo Lewandowski e Marco Aurélio. O Tribunal, por unanimidade, decidiu pela executoriedade imediata dos capítulos autônomos do acórdão condenatório, que não foram objeto de embargos infringentes, considerados os estritos limites da impugnação recursal, e acolheu parcialmente a Questão de Ordem suscitada pelo Relator para decretar o respectivo trânsito em julgado. O Tribunal, por maioria, excluiu da execução imediata do acórdão as condenações que já foram impugnadas por meio de embargos infringentes, considerados os estritos limites de cada recurso, por ainda estarem pendentes de exame de admissibilidade, nos termos do voto do Ministro Teori Zavascki, vencidos os Ministros Joaquim Barbosa (Relator), Roberto Barroso, Luiz Fux, Dias Toffoli e Gilmar Mendes. Os Ministros Ricardo Lewandowski e Marco Aurélio também excluíam da execução imediata os réus cujos embargos de declaração foram apreciados na sessão de hoje. Presidência do Ministro Joaquim Barbosa (Presidente). Plenário, 13.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"","",NA,NA,"","","","","","","0","0"
"RE-587371","RE",587371,2008,"MIN. TEORI ZAVASCKI","14/11/2013","Julgado mérito de tema com repercussão geral","Decisão: O Tribunal, por maioria, conheceu do recurso extraordinário, vencidos os Ministros Luiz Fux, Dias Toffoli e Celso de Melo. No mérito, também por maioria, deu parcial provimento ao recurso, nos termos do voto do Relator, vencidos os Ministros Luiz Fux e Dias Toffoli, que negavam provimento ao recurso, e o Ministro Marco Aurélio, que lhe dava provimento em maior extensão. Votou o Presidente, Ministro Ricardo Lewandowski, Vice-Presidente no exercício da Presidência. Declarou suspeição o Ministro Joaquim Barbosa (Presidente). Ausentes, neste julgamento, os Ministros Gilmar Mendes e Cármen Lúcia. Plenário, 14.11.2013.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLÍTICOS | MAGISTRATURA | REMUNERAÇÃO 1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | GRATIFICAÇÃO INCORPORADA / QUINTOS E DÉCIMOS / VPNI","0","0"
"RE-600817","RE",600817,2009,"MIN. RICARDO LEWANDOWSKI","7/11/2013","Julgado mérito de tema com repercussão geral","Decisão: O Tribunal, por maioria, deu parcial provimento ao recurso extraordinário, nos termos do voto do Relator, vencidos os Ministros Rosa Weber, Dias Toffoli, Gilmar Mendes e Celso de Mello, que davam provimento integral ao recurso, e parcialmente o Ministro Marco Aurélio, que lhe negava provimento. Votou o Presidente, Ministro Joaquim Barbosa. Ausente, justificadamente, o Ministro Roberto Barroso. Plenário, 07.11.2013.","DIREITO PENAL","0 - DIREITO PENAL | PARTE GERAL | APLICAÇÃO DA PENA 1 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE TRÁFICO ILÍCITO E USO INDEVIDO DE DROGAS | TRÁFICO DE DROGAS E CONDUTAS AFINS","0","0"
"ADI-917","ADI",917,1993,"MIN. MARCO AURÉLIO","6/11/2013","Procedente","Decisão: O Tribunal, por maioria, julgou procedente a ação direta para declarar a inconstitucionalidade do artigo 27, §§ 1º ao 5º da Lei nº 10.961, de 14 de dezembro de 1992, do Estado de Minas Gerais, vencido em parte o Ministro Marco Aurélio (Relator). Votou o Presidente, Ministro Joaquim Barbosa. Impedido o Ministro Dias Toffoli. Redigirá o acórdão o Ministro Teori Zavascki. Plenário, 06.11.2013.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL","0","0"
"MS-25079","MS",25079,2004,"MIN. GILMAR MENDES","6/11/2013","Denegada a segurança","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, denegou a segurança, vencidos os Ministros Roberto Barroso, Rosa Weber, Luiz Fux, Ricardo Lewandowski e Celso de Mello. Votou o Presidente, Ministro Joaquim Barbosa. Plenário, 06.11.2013.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLÍTICOS | MAGISTRATURA | APOSENTADORIA 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | ISONOMIA/EQUIVALÊNCIA SALARIAL | EXTENSÃO DE VANTAGEM AOS INATIVOS","0","0"
"Pet-3388","Pet",3388,2005,"MIN. ROBERTO BARROSO","23/10/2013","Embargos recebidos em parte","Decisão: O Tribunal, por unanimidade, não conheceu dos embargos de declaração opostos por Ação Integralista Brasileira, Movimento Integralista Brasileiro e Anésio de Lara Campos Júnior. Votou o Presidente, Ministro Joaquim Barbosa. Também por unanimidade, desproveu os embargos de declaração opostos por Lawrence Manly Harte e outros, pelo Estado de Roraima e pelo Senador Augusto Affonso Botelho Neto. Votou o Presidente, Ministro Joaquim Barbosa. Quanto aos embargos opostos pelo Senador Francisco Mozarildo de Melo Cavalcanti, em que ficou vencido o Ministro Marco Aurélio, que os acolhia em maior extensão; quanto aos embargos opostos pela Procuradoria-Geral da República, em que ficaram vencidos os Ministros Marco Aurélio e Joaquim Barbosa (Presidente), que os acolhiam com efeitos modificativos, e quanto aos embargos opostos pelas Comunidades Indígenas, o Tribunal os acolheu parcialmente, sem efeitos modificativos, apenas para esclarecer que: a) a decisão proferida na PET 3.388/RR não vinc","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | DOMÍNIO PÚBLICO | TERRAS INDÍGENAS","0","0"
"Rcl-10762","Rcl",10762,2010,"MIN. MARCO AURÉLIO","17/10/2013","Agravo regimental provido","Decisão: O Tribunal, por maioria, deu provimento ao agravo regimental para julgar procedente a reclamação para fixar a competência da Justiça comum, vencidos os Ministros Marco Aurélio (Relator) e Rosa Weber. Votou o Presidente, Ministro Joaquim Barbosa. Ausentes, justificadamente, os Ministros Celso de Mello, Cármen Lúcia e Luiz Fux, e, neste julgamento, o Ministro Gilmar Mendes. Redigirá o acórdão o Ministro Dias Toffoli. Plenário, 17.10.2013.","DIREITO PROCESSUAL CIVIL E DO TRABALHO","1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | JURISDIÇÃO E COMPETÊNCIA | COMPETÊNCIA  | COMPETÊNCIA DA JUSTIÇA DO TRABALHO","0","0"
"Rcl-12431","Rcl",12431,2011,"MIN. TEORI ZAVASCKI","17/10/2013","Agravo regimental não conhecido","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, não conheceu do agravo regimental, vencidos os Ministros Marco Aurélio, Rosa Weber e Roberto Barroso. Votou o Presidente, Ministro Ricardo Lewandowski, Vice-Presidente no exercício da Presidência. Ausentes, justificadamente, os Ministros Celso de Mello, Cármen Lúcia e Luiz Fux, e, neste julgamento, o Ministro Joaquim Barbosa (Presidente). Plenário, 17.10.2013.","DIREITO PROCESSUAL PENAL","1 - DIREITO PROCESSUAL PENAL | AÇÃO PENAL","0","0"
"MI-4932","MI",4932,2012,"MIN. TEORI ZAVASCKI","17/10/2013","Agravo regimental não provido","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, negou provimento ao agravo regimental, vencidos os Ministros Marco Aurélio e Dias Toffoli. Votou o Presidente, Ministro Ricardo Lewandowski, Vice-Presidente no exercício da Presidência. Ausentes, justificadamente, os Ministros Celso de Mello, Cármen Lúcia e Luiz Fux, e, neste julgamento, o Ministro Joaquim Barbosa (Presidente). Plenário, 17.10.2013.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | REVISÃO GERAL ANUAL (MORA DO EXECUTIVO - INCISO X, ART. 37, CF 1988)","0","0"
"RE-578695","RE",578695,2008,"MIN. RICARDO LEWANDOWSKI","15/10/2013","Não provido","NA SESSÃO DO PLENÁRIO DE 29.10.2008 - Decisão: O Tribunal, por maioria, negou provimento ao recurso, nos termos do voto do Relator, que reformulou o voto anteriormente proferido, contra o voto do Senhor Ministro Joaquim Barbosa. Votou o Presidente, Ministro Cezar Peluso (Vice-Presidente). Ausente, justificadamente, porque em representação do Tribunal no exterior, o Senhor Ministro Gilmar Mendes (Presidente). Plenário, 29.10.2008.","DIREITO PROCESSUAL CIVIL E DO TRABALHO","1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAÇÃO / CUMPRIMENTO / EXECUÇÃO DE SENTENÇA | PRECATÓRIO | FRACIONAMENTO","0","0"
"RE-592619","RE",592619,2008,"MIN. GILMAR MENDES","15/10/2013","Julgado mérito de tema com repercussão geral","","DIREITO PROCESSUAL CIVIL E DO TRABALHO","0 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAÇÃO / CUMPRIMENTO / EXECUÇÃO DE SENTENÇA | PRECATÓRIO | FRACIONAMENTO","0","0"
"AP-432","AP",432,2007,"MIN. LUIZ FUX","10/10/2013","Procedente em parte","Decisão: O Tribunal, por maioria, julgou parcialmente procedente a ação penal para condenar o réu pelo delito previsto no inciso II do art. 1º do Decreto-lei nº 201/1967, vencidos os Ministros Teori Zavascki, Gilmar Mendes e Marco Aurélio, que o absolviam. O Ministro Dias Toffoli condenou o réu com base no inciso I do art. 1º do DL nº 201/1967. Em seguida, o Tribunal resolveu questão de ordem suscitada pelo Ministro Dias Toffoli, no sentido da participação de Sua Excelência na fixação da dosimetria da pena ainda que tenha votado pela condenação em inciso diverso, vencidos os Ministros Gilmar Mendes e Marco Aurélio. Por maioria, fixou a pena em 2 (dois) anos de reclusão e declarou extinta a punibilidade pela ocorrência da prescrição retroativa, vencidos os Ministros Luiz Fux (Relator) e Rosa Weber, que a fixavam em 4 anos e 4 meses de reclusão. Votou o Presidente, Ministro Ricardo Lewandowski, Vice-Presidente no exercício da Presidência. Ausentes, justificadamente, os Ministros Joaquim ","DIREITO PENAL","1 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE RESPONSABILIDADE 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLÍTICOS | PREFEITO","0","0"
"RE-606199","RE",606199,2009,"MIN. TEORI ZAVASCKI","9/10/2013","Julgado mérito de tema com repercussão geral","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, deu provimento parcial ao recurso extraordinário, adotando o voto médio, vencidos os Ministros Dias Toffoli, Cármen Lúcia, Gilmar Mendes e Celso de Mello, que lhe davam provimento. Votou o Presidente, Ministro Ricardo Lewandowski, Vice-Presidente no exercício da Presidência. Ausente, ocasionalmente, o Ministro Joaquim Barbosa (Presidente). Falaram, pelo recorrente, o Dr. César Augusto Binder, Procurador do Estado, e pelos recorridos, o Dr. Sérgio Ney Cuéllar Tramujas. Plenário, 09.10.2013.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | PLANO DE CLASSIFICAÇÃO DE CARGOS 1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | REGIME ESTATUTÁRIO | ENQUADRAMENTO 2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | ISONOMIA/EQUIVALÊNCIA SALARIAL","0","0"
"AP-609","AP",609,2011,"MIN. LUIZ FUX","3/10/2013","Improcedente","Decisão: O Tribunal, por maioria, julgou improcedente a ação penal para absolver o réu com base no art. 386, III, do Código de Processo Penal, nos termos do voto do Relator, vencidos os Ministros Marco Aurélio, Celso de Mello e Joaquim Barbosa (Presidente), que julgavam procedente a ação penal para condenar o acusado. As Ministras Rosa Weber e Cármen Lúcia o absolviam com base no art. 386, VII, do CPP. Ausente, justificadamente, o Ministro Dias Toffoli, participante da ""V Conferência Iberoamericana sobre Justicia Electoral"", em Santo Domingo, República Dominicana. Plenário, 03.10.2013.","DIREITO PENAL","1 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES ELEITORAIS","0","0"
"RE-631389","RE",631389,2010,"MIN. MARCO AURÉLIO","25/9/2013","Julgado mérito de tema com repercussão geral","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, negou provimento ao recurso extraordinário, vencido o Ministro Teori Zavascki. Votou o Ministro Ricardo Lewandowski, Vice-Presidente no exercício da Presidência. Ausente, justificadamente, o Ministro Joaquim Barbosa (Presidente), em participação no Global Constitutionalism Seminar, na Yale Law School, nos Estados Unidos da América. Plenário, 25.09.2013.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | GRATIFICAÇÕES POR ATIVIDADES ESPECÍFICAS 1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | ISONOMIA/EQUIVALÊNCIA SALARIAL | EXTENSÃO DE VANTAGEM AOS INATIVOS","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","23/9/2013","Agravo regimental provido","NA SESSÃO DO PLENÁRIODE 18.9.2013 - (25º AgR) - Decisão: O Tribunal, por maioria, deu provimento ao agravo regimental para admitir os embargos infringentes, vencidos os Ministros Joaquim Barbosa (Presidente), Luiz Fux, Cármen Lúcia, Gilmar Mendes e Marco Aurélio. Em seguida, o Tribunal, por maioria, acolheu o pedido de duplicação do prazo de interposição do recurso de embargos infringentes, vencidos os Ministros Relator, Roberto Barroso, Luiz Fux e Gilmar Mendes. Redigirá o acórdão o Ministro Teori Zavascki. Plenário, 18.09.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","23/9/2013","Agravo regimental provido","NA SESSÃO DO PLENÁRIO DE 18.9.2013 - (26º AgR) - Decisão: O Tribunal rejeitou a preliminar de preclusão suscitada pelo Ministro Marco Aurélio. Por maioria, deu provimento ao agravo regimental para admitir os embargos infringentes, vencidos os Ministros Joaquim Barbosa (Presidente), Luiz Fux, Cármen Lúcia, Gilmar Mendes e Marco Aurélio. Redigirá o acórdão o Ministro Roberto Barroso. Plenário, 18.09.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","17/9/2013","Embargos recebidos em parte","NA SESSÃO DO PLENÁRIO DE 5.9.2013 - (17ºs EDj) - Decisão: Prosseguindo no julgamento, o Tribunal, por maioria, acolheu parcialmente os embargos de declaração, nos termos do voto do Ministro Ricardo Lewandowski, vencidos, nessa parte, os Ministros Joaquim Barbosa (Presidente), Rosa Weber e Luiz Fux. A Ministra Rosa Weber concedia habeas corpus de ofício. Quanto à fixação da pena base pelo delito de formação de quadrilha, os Ministros Ricardo Lewandowski, Marco Aurélio e Dias Toffoli reajustaram os votos em relação aos embargantes Delúbio Soares de Castro, José Roberto Salgado, José Genoíno Neto, Kátia Rabello, Ramon Hollerbach Cardoso e Jacinto de Souza Lamas; em relação ao embargante Cristiano de Mello Paz, reajustaram os votos os Ministros Ricardo Lewandowski e Dias Toffoli; e, em relação ao embargante Marco Valério Fernandes de Souza, reajustou o voto o Ministro Dias Toffoli.  Plenário, 05.09.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","17/9/2013","Embargos rejeitados","NA SESSÃO DO PLENÁRIO DE 5.9.2013 - (EDj) - Decisão: O Tribunal, por maioria e nos termos do voto do Ministro Joaquim Barbosa (Presidente), rejeitou os embargos de declaração, vencidos os Ministros Ricardo Lewandowski, Marco Aurélio, Celso de Mello, Dias Toffoli e Teori Zavascki. Plenário, 05.09.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
"AP-470","AP",470,2007,"MIN. ROBERTO BARROSO","4/9/2013","Embargos recebidos em parte","Decisão: O Tribunal, por maioria, acolheu parcialmente os embargos de declaração, nos termos do voto do Ministro Roberto Barroso, que redigirá o acórdão, vencidos os Ministros Joaquim Barbosa (Presidente), Teori Zavascki, Rosa Weber e Luiz Fux. A Ministra Rosa Weber concedia habeas corpus de ofício. O Ministro Teori Zavascki reajustou o voto quanto à fixação da pena base pelo delito de formação de quadrilha relativamente aos embargantes Marcos Valério Fernandes de Souza, Ramon Hollerbach Cardoso, Cristiano de Mello Paz, José Dirceu de Oliveira e Silva, Delúbio Soares de Castro, José Roberto Salgado, José Genoíno Neto e Kátia Rabello. Plenário, 04.09.2013.","DIREITO PENAL","0 - DIREITO PENAL | CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL 1 - DIREITO PENAL | CRIMES CONTRA A PAZ PÚBLICA | QUADRILHA OU BANDO 2 - DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAÇÃO DE BENS, DIREITOS OU VALORES","0","0"
